epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.279,0.85419,0.77922,1.18131,0.99886,1,0.995,0.74709,0.99444,0.61321,1.55481,0.000332323,0.000332323,0.0671
2,409.143,0.67181,0.51658,1.07933,0.99176,1,0.99381,0.8474,0.66082,0.54994,1.28777,0.000583282,0.000583282,0.0340176
3,588.785,0.60248,0.45129,1.05064,0.99658,1,0.995,0.82463,0.668,0.48452,1.26971,0.00075174,0.00075174,0.00085275
4,761.928,0.55106,0.40747,1.02723,0.9963,1,0.99497,0.9106,0.51035,0.42691,1.13646,0.00062875,0.00062875,0.00062875
5,934.171,0.51219,0.38144,1.01351,0.99966,1,0.995,0.83445,0.71299,0.49695,1.31583,0.000505,0.000505,0.000505
6,1104.9,0.49078,0.36512,1.01883,0.99957,1,0.995,0.85932,0.56271,0.44763,1.17771,0.00038125,0.00038125,0.00038125
7,1284.68,0.46675,0.34548,1.00197,0.99959,1,0.995,0.86934,0.52275,0.4207,1.14542,0.0002575,0.0002575,0.0002575
